Year,N_stakes,N_measurements,Mean_mwe,Std_mwe,Min_mwe,Max_mwe,Median_mwe,Elev_range
2022-23,7,7,-2.2037142857142857,1.31060961824205,-4.23,-0.936,-1.575,4037-4398m
2023-24,7,11,-1.1405454545454548,0.8247000198419258,-2.808,-0.297,-0.765,4041-4398m
2024-25,7,7,-3.263142857142857,1.1782538533173328,-5.22,-1.854,-2.88,4041-4396m
